,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,broadcast,attendance,home_pk_score,away_pk_score,home_score_ex,away_score_ex
0,1998/09/15,5,1,14:01,新潟,Ｖ川崎,3,2,平塚,試合終了,,12279,,,,
1,1998/09/15,5,2,14:04,札幌,札幌,1,2,清水,試合終了,,10406,,,0,1
2,1998/09/15,5,3,14:04,博多球,福岡,0,3,鹿島,試合終了,,17722,,,,
3,1998/09/15,5,4,15:02,市原,市原,0,2,浦和,試合終了,,8367,,,,
4,1998/09/15,5,5,15:02,広島ビ,広島,0,0,柏,試合終了,,6920,8,9,0,0
5,1998/09/15,5,6,15:03,長居,Ｃ大阪,2,1,Ｇ大阪,試合終了,,12230,,,,
6,1998/09/15,5,7,16:04,横浜国,横浜Ｆ,0,2,横浜M,試合終了,,53598,,,,
7,1998/09/15,5,8,19:03,神戸ユ,神戸,1,3,名古屋,試合終了,,5705,,,,
8,1998/09/15,5,9,19:04,鳥取,京都,2,3,磐田,試合終了,,12371,,,,
0,1998/09/19,6,1,14:02,磐田,磐田,1,0,Ｖ川崎,試合終了,,12056,,,,
1,1998/09/19,6,2,14:03,瑞穂陸,名古屋,3,0,市原,試合終了,,11386,,,,
2,1998/09/19,6,3,15:03,万博,Ｇ大阪,0,2,広島,試合終了,,4183,,,,
3,1998/09/19,6,4,16:04,日本平,清水,3,2,京都,試合終了,,12083,,,,
4,1998/09/19,6,5,18:33,駒場,浦和,3,0,横浜Ｆ,試合終了,,19742,,,,
5,1998/09/19,6,6,18:33,平塚,平塚,1,0,神戸,試合終了,,5151,,,,
6,1998/09/19,6,7,19:00,柏,柏,1,2,福岡,試合終了,,6392,,,0,1
7,1998/09/19,6,8,19:03,カシマ,鹿島,3,2,札幌,試合終了,,15184,,,,
8,1998/09/19,6,9,19:04,三ツ沢,横浜M,2,3,Ｃ大阪,試合終了,,8749,,,,
0,1998/09/23,7,1,13:04,札幌,札幌,3,2,柏,試合終了,,11183,,,,
1,1998/09/23,7,2,14:00,長居,Ｃ大阪,2,1,浦和,試合終了,,16145,,,,
2,1998/09/23,7,3,14:04,市原,市原,4,2,平塚,試合終了,,3514,,,,
3,1998/09/23,7,4,15:00,博多球,福岡,1,0,Ｇ大阪,試合終了,,8902,,,,
4,1998/09/23,7,5,15:01,広島ビ,広島,1,2,横浜M,試合終了,,12969,,,,
5,1998/09/23,7,6,15:03,国立,Ｖ川崎,0,2,京都,試合終了,,12099,,,,
6,1998/09/23,7,7,15:03,横浜国,横浜Ｆ,2,3,名古屋,試合終了,,16226,,,,
7,1998/09/23,7,8,16:02,日本平,清水,1,2,鹿島,試合終了,,13830,,,,
8,1998/09/23,7,9,19:04,神戸ユ,神戸,0,7,磐田,試合終了,,13589,,,,
0,1998/09/26,8,1,14:01,国立,平塚,3,1,横浜Ｆ,試合終了,,17164,,,,
1,1998/09/26,8,2,14:03,磐田,磐田,6,2,市原,試合終了,,10840,,,,
2,1998/09/26,8,3,14:03,瑞穂球,名古屋,1,1,Ｃ大阪,試合終了,,9288,5,3,0,0
3,1998/09/26,8,4,15:00,等々力,Ｖ川崎,1,2,神戸,試合終了,,5244,,,,
4,1998/09/26,8,5,15:03,万博,Ｇ大阪,1,0,札幌,試合終了,,3688,,,,
5,1998/09/26,8,6,16:05,西京極,京都,0,3,鹿島,試合終了,,7156,,,,
6,1998/09/26,8,7,18:33,駒場,浦和,1,2,広島,試合終了,,17876,,,,
7,1998/09/26,8,8,19:03,三ツ沢,横浜M,3,0,福岡,試合終了,,7265,,,,
8,1998/09/26,8,9,19:04,柏,柏,1,2,清水,試合終了,,8016,,,,
0,1998/10/03,9,1,14:02,カシマ,鹿島,3,0,柏,試合終了,,14572,,,,
1,1998/10/03,9,2,14:03,三ツ沢,横浜Ｆ,0,4,磐田,試合終了,,14473,,,,
2,1998/10/03,9,3,14:05,札幌,札幌,0,2,横浜M,試合終了,,19251,,,,
3,1998/10/03,9,4,15:00,長居,Ｃ大阪,2,1,平塚,試合終了,,5653,,,,
4,1998/10/03,9,5,15:03,広島ビ,広島,2,1,名古屋,試合終了,,5820,,,1,0
5,1998/10/03,9,6,15:04,日本平,清水,4,1,Ｇ大阪,試合終了,,9902,,,,
6,1998/10/03,9,7,16:03,国立,市原,0,2,Ｖ川崎,試合終了,,11538,,,,
7,1998/10/03,9,8,19:04,神戸ユ,神戸,0,2,京都,試合終了,,4794,,,,
8,1998/10/03,9,9,19:04,博多球,福岡,0,2,浦和,試合終了,,14498,,,,
0,1998/10/14,10,1,19:00,神戸ユ,神戸,5,5,市原,試合終了,,2091,5,3,0,0
1,1998/10/14,10,2,19:03,駒場,浦和,2,1,札幌,試合終了,,17580,,,,
2,1998/10/14,10,3,19:03,国立,Ｖ川崎,0,3,横浜Ｆ,試合終了,,10506,,,,
3,1998/10/14,10,4,19:03,三ツ沢,横浜M,3,4,清水,試合終了,,10665,,,0,1
4,1998/10/14,10,5,19:03,平塚,平塚,3,0,広島,試合終了,,4251,,,,
5,1998/10/14,10,6,19:03,瑞穂陸,名古屋,2,0,福岡,試合終了,,7531,,,,
6,1998/10/14,10,7,19:04,西京極,京都,2,2,柏,試合終了,,4052,5,3,0,0
7,1998/10/14,10,8,19:04,万博,Ｇ大阪,1,3,鹿島,試合終了,,4839,,,,
8,1998/10/14,10,9,19:33,磐田,磐田,3,0,Ｃ大阪,試合終了,,8768,,,,
0,1998/10/17,11,1,13:04,札幌,札幌,3,2,名古屋,試合終了,,10052,,,,
1,1998/10/17,11,2,14:05,カシマ,鹿島,2,1,横浜M,試合終了,,14422,,,1,0
2,1998/10/17,11,3,15:02,長居,Ｃ大阪,1,2,Ｖ川崎,試合終了,,7284,,,,
3,1998/10/17,11,4,15:03,市原,市原,1,2,京都,試合終了,,2574,,,0,1
4,1998/10/17,11,5,15:04,日本平,清水,1,0,浦和,試合終了,,15117,,,1,0
5,1998/10/17,11,6,16:04,広島ビ,広島,2,1,磐田,試合終了,,5431,,,,
6,1998/10/17,11,7,19:03,三ツ沢,横浜Ｆ,4,3,神戸,試合終了,,3762,,,,
7,1998/10/17,11,8,19:04,柏,柏,2,0,Ｇ大阪,試合終了,,4911,,,,
8,1998/10/18,11,9,14:01,長崎,福岡,0,2,平塚,試合終了,,6360,,,,
0,1998/10/21,12,1,19:00,市原,市原,0,3,横浜Ｆ,試合終了,,2513,,,,
1,1998/10/21,12,2,19:00,平塚,平塚,2,2,札幌,試合終了,,4381,4,3,0,0
2,1998/10/21,12,3,19:00,神戸ユ,神戸,2,0,Ｃ大阪,試合終了,,2818,,,,
3,1998/10/21,12,4,19:03,等々力,Ｖ川崎,0,1,広島,試合終了,,3403,,,,
4,1998/10/21,12,5,19:03,三ツ沢,横浜M,0,1,柏,試合終了,,6773,,,,
5,1998/10/21,12,6,19:04,国立,浦和,2,3,鹿島,試合終了,,42258,,,0,1
6,1998/10/21,12,7,19:04,瑞穂陸,名古屋,0,2,清水,試合終了,,10839,,,,
7,1998/10/21,12,8,19:05,西京極,京都,1,3,Ｇ大阪,試合終了,,3847,,,,
8,1998/10/21,12,9,19:34,磐田,磐田,6,1,福岡,試合終了,,8407,,,,
0,1998/10/24,13,1,14:02,カシマ,鹿島,1,0,名古屋,試合終了,,15026,,,,
1,1998/10/24,13,2,14:03,日本平,清水,3,0,平塚,試合終了,,10085,,,,
2,1998/10/24,13,3,14:04,万博,Ｇ大阪,1,4,横浜M,試合終了,,10486,,,,
3,1998/10/24,13,4,14:04,博多球,福岡,2,1,Ｖ川崎,試合終了,,9540,,,,
4,1998/10/24,13,5,14:05,札幌,札幌,1,6,磐田,試合終了,,19739,,,,
5,1998/10/24,13,6,15:03,広島ビ,広島,2,3,神戸,試合終了,,5748,,,,
6,1998/10/24,13,7,16:04,福井,Ｃ大阪,2,0,市原,試合終了,,6775,,,,
7,1998/10/24,13,8,19:03,鴨池,横浜Ｆ,2,3,京都,試合終了,,8160,,,,
8,1998/10/24,13,9,19:05,国立,柏,2,0,浦和,試合終了,,26021,,,,
0,1998/10/31,14,1,15:00,市原,市原,0,0,広島,試合終了,,3713,6,5,0,0
1,1998/10/31,14,2,15:00,磐田,磐田,1,0,清水,試合終了,,17337,,,,
2,1998/10/31,14,3,15:00,神戸ユ,神戸,2,1,福岡,試合終了,,7763,,,,
3,1998/10/31,14,4,15:02,西京極,京都,2,1,横浜M,試合終了,,10219,,,,
4,1998/10/31,14,5,15:03,駒場,浦和,1,0,Ｇ大阪,試合終了,,17927,,,,
5,1998/10/31,14,6,15:03,等々力,Ｖ川崎,1,2,札幌,試合終了,,6263,,,,
6,1998/10/31,14,7,15:03,横浜国,横浜Ｆ,7,0,Ｃ大阪,試合終了,,14234,,,,
7,1998/10/31,14,8,15:03,長良川,名古屋,4,2,柏,試合終了,,8543,,,,
8,1998/10/31,14,9,15:04,平塚,平塚,0,2,鹿島,試合終了,,9475,,,,
0,1998/11/03,15,1,14:00,カシマ,鹿島,1,0,磐田,試合終了,,16803,,,,
1,1998/11/03,15,2,14:00,万博,Ｇ大阪,2,3,名古屋,試合終了,,6933,,,,
2,1998/11/03,15,3,14:01,国立,横浜M,3,2,浦和,試合終了,,41786,,,,
3,1998/11/03,15,4,14:03,札幌,札幌,3,0,神戸,試合終了,,12154,,,,
4,1998/11/03,15,5,14:03,柏,柏,1,3,平塚,試合終了,,7748,,,,
5,1998/11/03,15,6,16:00,日本平,清水,0,0,Ｖ川崎,試合終了,,14070,4,2,0,0
6,1998/11/03,15,7,16:00,長居,Ｃ大阪,1,2,京都,試合終了,,10012,,,,
7,1998/11/03,15,8,16:01,広島ビ,広島,1,2,横浜Ｆ,試合終了,,9015,,,,
8,1998/11/03,15,9,16:01,博多球,福岡,2,1,市原,試合終了,,5738,,,,
0,1998/11/07,16,1,15:00,西京極,京都,1,3,浦和,試合終了,,10787,,,,
1,1998/11/07,16,2,15:00,神戸ユ,神戸,3,0,清水,試合終了,,8373,,,,
2,1998/11/07,16,3,15:01,三ツ沢,横浜Ｆ,2,1,福岡,試合終了,,13156,,,,
3,1998/11/07,16,4,15:01,磐田,磐田,4,0,柏,試合終了,,12555,,,,
4,1998/11/07,16,5,15:03,平塚,平塚,2,1,Ｇ大阪,試合終了,,5884,,,,
5,1998/11/07,16,6,15:03,瑞穂陸,名古屋,3,2,横浜M,試合終了,,22533,,,1,0
6,1998/11/07,16,7,15:03,長居,Ｃ大阪,0,1,広島,試合終了,,6793,,,,
7,1998/11/07,16,8,15:04,市原,市原,1,3,札幌,試合終了,,3287,,,,
8,1998/11/07,16,9,19:03,等々力,Ｖ川崎,1,2,鹿島,試合終了,,17723,,,0,1
0,1998/11/14,17,1,15:00,札幌,札幌,1,4,横浜Ｆ,試合終了,,15172,,,,
1,1998/11/14,17,2,15:01,柏,柏,2,1,Ｖ川崎,試合終了,,12359,,,,
2,1998/11/14,17,3,15:02,万博,Ｇ大阪,4,5,磐田,試合終了,,18890,,,,
3,1998/11/14,17,4,15:03,カシマ,鹿島,4,1,神戸,試合終了,,16944,,,,
4,1998/11/14,17,5,15:03,駒場,浦和,2,1,名古屋,試合終了,,20107,,,,
5,1998/11/14,17,6,15:03,広島ビ,広島,1,2,京都,試合終了,,8929,,,0,1
6,1998/11/14,17,7,15:04,横浜国,横浜M,4,2,平塚,試合終了,,23413,,,,
7,1998/11/14,17,8,15:04,日本平,清水,4,1,市原,試合終了,,15108,,,,
8,1998/11/14,17,9,15:04,博多球,福岡,0,2,Ｃ大阪,試合終了,,8940,,,,
